epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,2232.11,0.72479,0.4769,1.09381,0.91805,0.92924,0.96233,0.72443,0.89617,0.45899,1.15432,0.0006932,0.0006932,0.0006932
68,2264.07,0.71613,0.46942,1.0836,0.92507,0.92471,0.96665,0.72272,0.89352,0.45827,1.15912,0.0006734,0.0006734,0.0006734
69,2296.11,0.70706,0.46606,1.08397,0.92449,0.93024,0.96414,0.72735,0.89219,0.44746,1.16655,0.0006536,0.0006536,0.0006536
70,2328.16,0.70107,0.46283,1.08406,0.91658,0.93004,0.9636,0.72439,0.88879,0.4539,1.17332,0.0006338,0.0006338,0.0006338
71,2360.24,0.70489,0.46331,1.08459,0.9117,0.93984,0.96317,0.72267,0.8822,0.45301,1.14217,0.000614,0.000614,0.000614
72,2392.27,0.6945,0.45579,1.07157,0.92441,0.92586,0.96415,0.72183,0.88889,0.45427,1.16163,0.0005942,0.0005942,0.0005942
73,2424.31,0.69397,0.45678,1.07412,0.91966,0.92507,0.96338,0.7246,0.89696,0.44284,1.18102,0.0005744,0.0005744,0.0005744
74,2456.04,0.70475,0.45539,1.08376,0.92811,0.92806,0.96736,0.72949,0.88911,0.44918,1.15467,0.0005546,0.0005546,0.0005546
75,2488.24,0.68749,0.44924,1.07211,0.92298,0.92854,0.96426,0.72165,0.89414,0.45566,1.16552,0.0005348,0.0005348,0.0005348
76,2520.22,0.68545,0.44356,1.07085,0.91093,0.93747,0.96389,0.72519,0.88908,0.44646,1.16723,0.000515,0.000515,0.000515
77,2552.29,0.67674,0.43909,1.06793,0.92152,0.93396,0.9664,0.72094,0.88481,0.44727,1.17506,0.0004952,0.0004952,0.0004952
78,2584.32,0.68116,0.43025,1.06971,0.92486,0.93185,0.96596,0.72593,0.89214,0.4446,1.17162,0.0004754,0.0004754,0.0004754
79,2616.23,0.67544,0.43838,1.06655,0.91646,0.93662,0.96084,0.71852,0.90362,0.44697,1.18974,0.0004556,0.0004556,0.0004556
80,2648.22,0.66101,0.42864,1.05524,0.9312,0.92641,0.96144,0.7204,0.90055,0.4486,1.18102,0.0004358,0.0004358,0.0004358
81,2680.48,0.66681,0.43085,1.06143,0.92562,0.92635,0.96405,0.72546,0.89808,0.44629,1.17497,0.000416,0.000416,0.000416
82,2712.56,0.65685,0.42128,1.05445,0.92385,0.92769,0.96427,0.72501,0.89112,0.44927,1.17459,0.0003962,0.0003962,0.0003962
83,2744.49,0.64911,0.41945,1.04913,0.91472,0.93077,0.96099,0.7223,0.8939,0.44623,1.17239,0.0003764,0.0003764,0.0003764
84,2776.44,0.64937,0.41675,1.0516,0.92748,0.93027,0.96473,0.72047,0.90312,0.44082,1.18988,0.0003566,0.0003566,0.0003566
85,2808.37,0.64826,0.41227,1.04896,0.92351,0.92947,0.96382,0.72556,0.89998,0.44364,1.176,0.0003368,0.0003368,0.0003368
86,2840.49,0.65022,0.41563,1.05432,0.92994,0.9259,0.96525,0.72723,0.8955,0.44245,1.16846,0.000317,0.000317,0.000317
87,2872.52,0.6363,0.40766,1.04144,0.91682,0.93279,0.96468,0.72326,0.89156,0.44591,1.17085,0.0002972,0.0002972,0.0002972
88,2904.42,0.62984,0.40328,1.03779,0.93232,0.92216,0.96315,0.72446,0.89678,0.44081,1.17532,0.0002774,0.0002774,0.0002774
89,2936.36,0.63438,0.40618,1.03946,0.9333,0.92514,0.96491,0.72484,0.90267,0.43669,1.18586,0.0002576,0.0002576,0.0002576
90,2968.28,0.62587,0.39706,1.03347,0.93003,0.92556,0.96465,0.72553,0.90411,0.4443,1.1871,0.0002378,0.0002378,0.0002378
91,3001.57,0.60528,0.35411,1.01973,0.92384,0.92812,0.95053,0.69777,0.92192,0.46293,1.19706,0.000218,0.000218,0.000218
92,3033.78,0.57718,0.3367,1.00207,0.92641,0.92812,0.95306,0.69738,0.9142,0.45616,1.20284,0.0001982,0.0001982,0.0001982
93,3065.41,0.56805,0.3266,0.99752,0.92015,0.93134,0.9554,0.70289,0.91562,0.44775,1.20254,0.0001784,0.0001784,0.0001784
94,3097.12,0.56376,0.32142,0.99601,0.92221,0.9278,0.95416,0.70035,0.91203,0.45295,1.18967,0.0001586,0.0001586,0.0001586
95,3128.74,0.55486,0.32279,0.99233,0.93331,0.92271,0.95332,0.6985,0.9154,0.45867,1.19941,0.0001388,0.0001388,0.0001388
96,3160.61,0.55578,0.31897,0.99273,0.92273,0.93024,0.95751,0.70514,0.91769,0.45014,1.2103,0.000119,0.000119,0.000119
97,3192.33,0.55623,0.32061,0.99449,0.91948,0.93253,0.95719,0.70792,0.91269,0.45311,1.20369,9.92e-05,9.92e-05,9.92e-05
98,3224.15,0.54884,0.31412,0.9918,0.92193,0.93194,0.95724,0.70953,0.91121,0.45257,1.20389,7.94e-05,7.94e-05,7.94e-05
99,3255.98,0.54519,0.30984,0.98726,0.92392,0.92897,0.9564,0.7088,0.91391,0.44996,1.20848,5.96e-05,5.96e-05,5.96e-05
100,3287.84,0.54515,0.31114,0.98916,0.91649,0.93194,0.95623,0.71018,0.9151,0.44977,1.20477,3.98e-05,3.98e-05,3.98e-05
